uid,offence,date_start,date_end
10312317,theft from motor vehicle,2016-01-01 00:01,2016-01-01 00:01
10312345,theft of motor vehicle,2016-01-01 00:15,2016-01-01 00:33
10312417,theft from motor vehicle,2016-01-01 00:45,2016-01-01 01:15
10312531,theft of motor vehicle,2016-01-01 02:00,2016-01-01 02:20
10312572,theft of motor vehicle,2016-01-01 01:30,2016-01-01 03:30
10312574,theft of motor vehicle,2016-01-01 01:00,2016-01-01 04:00
10312609,theft of motor vehicle,2016-01-01 02:20,2016-01-01 03:36
10312640,theft of motor vehicle,2016-01-01 03:05,2016-01-01 03:13
10312674,theft from motor vehicle,2016-01-01 02:30,2016-01-01 04:30
10312692,theft from motor vehicle,2016-01-01 03:30,2016-01-01 04:00
10312730,theft from motor vehicle,2016-01-01 04:00,2016-01-01 04:30
10312758,theft of motor vehicle,2016-01-01 04:43,2016-01-01 04:46
10312782,theft from motor vehicle,2016-01-01 02:30,2016-01-01 07:20
10312786,theft of motor vehicle,2016-01-01 03:30,2016-01-01 06:30
10312880,theft from motor vehicle,2016-01-01 04:00,2016-01-01 09:00
10312886,theft of motor vehicle,2016-01-01 06:30,2016-01-01 07:00
10312913,theft from motor vehicle,2016-01-01 06:20,2016-01-01 08:30
10312924,theft from motor vehicle,2016-01-01 03:30,2016-01-01 12:00
10312930,theft from motor vehicle,2016-01-01 03:30,2016-01-01 12:20
10312938,theft of motor vehicle,2016-01-01 02:00,2016-01-01 14:00
10312945,theft from motor vehicle,2016-01-01 02:30,2016-01-01 14:00
10312949,theft from motor vehicle,2016-01-01 08:15,2016-01-01 08:30
10312996,theft from motor vehicle,2016-01-01 00:01,2016-01-01 19:45
10312997,theft from motor vehicle,2016-01-01 00:01,2016-01-01 19:45
10313038,theft from motor vehicle,2016-01-01 06:00,2016-01-01 16:30
10313084,theft from motor vehicle,2016-01-01 10:00,2016-01-01 15:00
10313121,theft of motor vehicle,2016-01-01 12:30,2016-01-01 14:00
10313169,theft from motor vehicle,2016-01-01 14:30,2016-01-01 14:35
10313182,theft from motor vehicle,2016-01-01 14:30,2016-01-01 15:30
10313210,theft from motor vehicle,2016-01-01 15:00,2016-01-01 16:00
10313221,theft from motor vehicle,2016-01-01 02:30,2016-01-02 05:00
10313284,theft from motor vehicle,2016-01-01 17:05,2016-01-01 17:45
10313293,theft from motor vehicle,2016-01-01 17:25,2016-01-01 17:40
10313298,theft of motor vehicle,2016-01-01 17:30,2016-01-01 17:52
10313304,theft from motor vehicle,2016-01-01 01:00,2016-01-02 10:30
10313310,theft from motor vehicle,2016-01-01 17:50,2016-01-01 17:58
10313335,theft from motor vehicle,2016-01-01 18:00,2016-01-01 19:00
10313347,theft of motor vehicle,2016-01-01 18:30,2016-01-01 18:46
10313374,theft from motor vehicle,2016-01-01 15:00,2016-01-01 23:45
10313382,theft from motor vehicle,2016-01-01 13:00,2016-01-02 02:00
10313418,theft from motor vehicle,2016-01-01 04:00,2016-01-02 13:20
10313425,theft from motor vehicle,2016-01-01 03:00,2016-01-02 14:30
10313442,theft from motor vehicle,2016-01-01 16:00,2016-01-02 02:00
10313457,theft of motor vehicle,2016-01-01 21:13,2016-01-01 21:15
10313468,theft from motor vehicle,2016-01-01 15:00,2016-01-02 03:50
10313469,theft of motor vehicle,2016-01-01 21:25,2016-01-01 21:25
10313475,theft from motor vehicle,2016-01-01 08:00,2016-01-02 11:00
10313535,theft from motor vehicle,2016-01-01 22:45,2016-01-01 23:00
10313537,theft from motor vehicle,2016-01-01 16:00,2016-01-02 06:00
10313555,theft from motor vehicle,2016-01-01 23:30,2016-01-01 23:33
10313600,theft of motor vehicle,2016-01-02 00:00,2016-01-02 01:00
10313613,theft from motor vehicle,2016-01-01 19:00,2016-01-02 07:00
10313614,theft from motor vehicle,2016-01-01 12:00,2016-01-02 14:00
10313633,theft from motor vehicle,2016-01-01 13:25,2016-01-02 13:30
10313636,theft from motor vehicle,2016-01-01 18:00,2016-01-02 09:00
10313642,theft of motor vehicle,2016-01-01 21:45,2016-01-02 05:30
10313648,theft from motor vehicle,2016-01-01 09:00,2016-01-02 18:30
10313650,theft from motor vehicle,2016-01-02 01:45,2016-01-02 01:50
10313664,theft from motor vehicle,2016-01-01 21:00,2016-01-02 07:30
10313670,theft from motor vehicle,2016-01-01 23:00,2016-01-02 06:00
